lat,lon,cluster_id
-1.9565778170776198,30.074075632954433,0
-1.930959033185914,30.05711342242502,1
-1.94970472042309,30.046143860256684,1
-1.945237908730415,30.04488010701523,1
-1.9460422026520268,30.04588320304018,0
-1.9489560203144038,30.05105198377566,1
-1.9550502001651338,30.05684846812931,1
-1.9409736769558177,30.051017874624645,1
-1.9405894938549892,30.076438580123988,0
-1.9552187657068023,30.055864346238344,0
-1.928467040740073,30.053584589482732,1
-1.9313160097651367,30.054509460012394,1
-1.9451460071499063,30.06813723275638,0
-1.9515583719778598,30.04814867387335,1
-1.929966466154074,30.060795773456512,0
-1.939512143171411,30.047462532852656,0
-1.9272210449966456,30.06523779887687,0
-1.942084105383923,30.069123070911598,1
-1.9488012815677618,30.052648219117803,1
-1.9512773474996503,30.050509928648577,1
-1.9311973369963649,30.070725797636747,0
-1.9368390263182658,30.078225335522774,0
-1.9556327633905826,30.056186733175462,1
-1.931182925846912,30.05760641495295,0
-1.9504652083018317,30.05363261427742,1
-1.9377782895457583,30.0695321878959,1
-1.9418885513418254,30.05014993377862,1
-1.9573137277869026,30.062063950817322,0
-1.947550380334905,30.056694275941688,0
-1.9319785172712818,30.073835513175982,0
-1.9535625526005693,30.0748819474818,0
-1.9465948706472143,30.047472601293638,1
-1.9430828229721984,30.070858773636182,0
-1.9540269717571659,30.052680578731053,1
-1.948348810515763,30.052615236967924,1
-1.9362554738258642,30.053878923376864,1
-1.9565307789733595,30.062976360933703,0
-1.941232286860368,30.079042013513373,1
-1.9404156050066905,30.060323083151626,0
-1.9550360888764082,30.048974688833816,1
-1.941206853062408,30.06908963524805,0
-1.92833332401923,30.069196938803195,1
-1.9469106976134034,30.076144673193973,0
-1.94635341250886,30.07035877396966,0
-1.9288963378744204,30.053500974281885,1
-1.9601275406410659,30.05774816756837,1
-1.9521313819605897,30.049525414425936,1
-1.9429159959529996,30.070276763203474,0
-1.9305999792402577,30.05441484999668,1
-1.9531698958163248,30.055650508004828,1
-1.9551752396725794,30.051495162757384,1
-1.9448971197760716,30.068882170388562,0
-1.9301741972997697,30.056232220912918,0
-1.9358514433362373,30.066709890713348,1
-1.9302681408125997,30.06675288669616,0
-1.9501681749797868,30.046937351838615,1
-1.953455434495772,30.051925622108154,1
-1.928478814219121,30.06041469890314,0
-1.928702104856666,30.058830939399737,1
-1.939405574903233,30.078952220257555,2
