building_id,lat,lon,slope,cluster_id
KGL-00000,-1.9565778170776198,30.074075632954433,16.339822430500185,0
KGL-00001,-1.930959033185914,30.05711342242502,9.24026870727539,1
KGL-00002,-1.94970472042309,30.046143860256684,21.52435874938965,1
KGL-00003,-1.945237908730415,30.04488010701523,10.692093849182129,1
KGL-00004,-1.9460422026520268,30.04588320304018,11.036322593688965,0
KGL-00005,-1.9489560203144038,30.05105198377566,8.490442276000977,1
KGL-00006,-1.9550502001651338,30.05684846812931,20.501846313476562,1
KGL-00007,-1.9409736769558177,30.051017874624645,10.4609956741333,1
KGL-00008,-1.9405894938549892,30.076438580123988,8.488616943359375,0
KGL-00009,-1.9552187657068023,30.055864346238344,21.270654678344727,0
KGL-00010,-1.928467040740073,30.053584589482732,6.198211193084717,1
KGL-00011,-1.9313160097651367,30.054509460012394,10.457740783691406,1
KGL-00012,-1.9451460071499063,30.06813723275638,11.179547309875488,0
KGL-00013,-1.9515583719778598,30.04814867387335,4.984577178955078,1
KGL-00014,-1.929966466154074,30.060795773456512,9.766819953918457,0
KGL-00015,-1.939512143171411,30.047462532852656,4.718701362609863,0
KGL-00016,-1.9272210449966456,30.06523779887687,14.359232902526855,0
KGL-00017,-1.942084105383923,30.069123070911598,11.181683540344238,1
KGL-00018,-1.9488012815677618,30.052648219117803,8.49044132232666,1
KGL-00019,-1.9512773474996503,30.050509928648577,20.501808166503906,1
KGL-00020,-1.9311973369963649,30.070725797636747,9.463379859924316,0
KGL-00021,-1.9368390263182658,30.078225335522774,2.622258186340332,0
KGL-00022,-1.9556327633905826,30.056186733175462,17.127853393554688,1
KGL-00023,-1.931182925846912,30.05760641495295,9.463379859924316,0
KGL-00024,-1.9504652083018317,30.05363261427742,13.857369422912598,1
KGL-00025,-1.9377782895457583,30.0695321878959,9.890739440917969,1
KGL-00026,-1.9418885513418254,30.05014993377862,10.264202117919922,1
KGL-00027,-1.9573137277869026,30.062063950817322,2.6222739219665527,0
KGL-00028,-1.947550380334905,30.056694275941688,6.724793434143066,0
KGL-00029,-1.9319785172712818,30.073835513175982,5.394421100616455,0
KGL-00030,-1.9535625526005693,30.0748819474818,6.660756587982178,0
KGL-00031,-1.9465948706472143,30.047472601293638,7.823309898376465,1
KGL-00032,-1.9430828229721984,30.070858773636182,11.179542541503906,0
