area_m2,perimeter_m,shape_index,area_log,elongation,nearest_nbr_dist,local_density,density_50m,density_100m,density_250m,density_ratio,nn_dist_std_100m,orientation,orientation_entropy,orientation_coherence,lat,lon,confidence,full_plus_code,cluster_id,category,risk_score
59.76730372037953,42.27605419247704,0.4202276611641386,4.107051876566265,1.2198444013366423,4.454686954435307,2037.1832715762605,3947.042588679004,2037.1832715762605,1782.5353626292278,2.214285714285714,11.192826382557808,26.85616961961952,3.194990270220268,0.484375,-1.951932206862926,30.13303088254586,0.75,6GCG24XM+66CQ,1,Stable/Formal Infrastructure,1
30.13144855420373,22.165509819957453,0.7706805969811041,3.438218515789926,1.3203716667972138,5.003465894333515,5602.253996834716,5602.253996834716,5602.253996834716,3763.696094237141,1.4884979702300405,4.835946057032368,29.654585375422958,3.412253068024279,0.4147727272727273,-1.960951437019148,30.133739506301005,0.75,6GCG24QM+JF9W,0,Informal/High Risk,8
19.951983339468285,18.34216488324578,0.7452375874750646,3.042233312028896,1.5862011366271045,6.363484493260983,3469.577759403318,4965.634224467134,3469.577759403318,1293.6113774509254,3.8385826771653537,5.135377173260384,166.09930108755842,3.613048754196012,0.2935779816513761,-1.9619855870595344,30.125751084914175,0.75,6GCG24QG+682C,0,Informal/High Risk,8
85.30813803160024,36.95495014929793,0.7849736624225995,4.457923892966774,1.047138314887986,8.182800884942967,3405.91578216656,3055.7749073643904,3405.91578216656,2021.9043970394384,1.5113350125944582,6.673444007695473,81.55210130378207,2.1929854177111725,0.5700934579439252,-1.9460229484495517,30.132897496678243,0.8125,6GCG343M+H5R4,1,Stable/Formal Infrastructure,1
18.880528088374597,17.394337675148527,0.7841663605958948,2.989740764677155,1.081992030915504,11.817102689247896,2291.831180523293,2928.450952890874,2291.831180523293,1864.0226934922784,1.57103825136612,7.96370603604154,123.95662075039677,3.913068413302611,0.2222222222222222,-1.9587267361445728,30.143399038714453,0.8125,6GCG24RV+G92X,1,Stable/Formal Infrastructure,1
39.56741838192241,25.659022225846154,0.7552093763597165,3.702965241521536,1.488336133138384,6.248279112418567,2132.6762374313976,4838.310269993618,2132.6762374313976,1818.1860698818125,2.661064425770308,12.621722471418272,18.95928588932077,3.289807881479028,0.4776119402985074,-1.9517786569595288,30.13296020851024,0.8125,6GCG24XM+75PW,1,Stable/Formal Infrastructure,1
31.640798831273063,22.950749939284798,0.7548550091248563,3.485563003793759,1.4920798334043184,7.212665027676964,3310.4228163114226,4710.986315520102,3310.4228163114226,3111.7974473327376,1.513911620294599,7.730974653391208,106.68731407964226,2.9490123471145493,0.3942307692307692,-1.956867580998647,30.13685552238932,0.8125,6GCG24VP+7P57,0,Informal/High Risk,8
54.69113407683292,38.31449945061155,0.4681666578268252,4.019820961496098,1.4807857577506056,16.047252136416954,1878.028328484365,2037.1832715762605,1878.028328484365,1746.8846553766432,1.1661807580174928,9.34353027806325,10.27214683330966,3.286511117761564,0.4745762711864407,-1.9545459052145813,30.12534932108644,0.8125,6GCG24WG+54Q2,1,Stable/Formal Infrastructure,1
50.93615307221167,29.39033339986125,0.7410149682326492,3.950015138651691,1.6242138044635388,14.677494264661588,4138.028520389278,4329.014452099553,4138.028520389278,3722.952428805616,1.1627906976744184,6.290472154033903,101.80765504072372,2.668298597362109,0.4,-1.9574878440132315,30.137405633285173,0.8125,6GCG24VP+2X2H,0,Informal/High Risk,8
116.3631233640378,44.30371730888337,0.7449804899697331,4.76527274701193,1.5860974584896892,9.903528586341643,4169.859509007658,5092.95817894065,4169.859509007658,3605.814390689981,1.4124293785310733,5.545120058712344,75.99616733892962,3.160232175198359,0.4122137404580153,-1.9577911587707504,30.13918766442724,0.8125,6GCG24RQ+VMP6,0,Informal/High Risk,8
387.9274474460378,85.07620712485507,0.6735101313008042,5.9633928158017175,1.755987807541727,18.87582820700592,2387.3241463784298,2546.479089470325,2387.3241463784298,1548.2592863979578,1.644736842105263,8.81914494312494,154.4302851973373,2.4452415678226966,0.56,-1.9457977444215535,30.129502710205458,0.875,6GCG343H+MRJ2,2,Planned Residential,4
